requirement_id,epic,module,requirement_title,requirement_description,business_priority,complexity,estimated_story_points,assigned_role,technology,sprint,status,dependency,acceptance_criteria,risk_level,release_version,created_by,created_date
REQ-104,Logistics & Fulfillment,Shipping,Shipping Label Printing Enhancement,"Generate and print carrier-compliant shipping labels (extended requirement, cycle 3)",Critical,High,21,Solution Architect,PostgreSQL,9,Done,REQ-103,Response time remains under 2 seconds under expected load,High,v2.0,Delivery Manager,2026-04-06
REQ-105,Logistics & Fulfillment,Shipping,Shipping Label Printing,Generate and print carrier-compliant shipping labels,High,High,21,Product Owner,Apache Airflow,9,Done,None,Audit log captures all required fields correctly,Low,v2.0,Client Stakeholder,2026-04-08
REQ-106,Logistics & Fulfillment,Shipping,Shipment Tracking Sync Enhancement,"Sync shipment tracking status updates back to order records (extended requirement, cycle 3)",High,Medium,5,DevOps Engineer,FastAPI Security,9,Done,None,Feature is accessible and passes WCAG 2.1 AA checks,Low,v2.0,Delivery Manager,2026-04-08
REQ-107,Logistics & Fulfillment,Shipping,Shipping Label Printing - Phase 2,"Generate and print carrier-compliant shipping labels (extended requirement, cycle 2)",Medium,Low,2,Database Admin,Docker,9,In Progress,REQ-106,Business sign-off obtained after UAT walkthrough,Medium,v2.0,Delivery Manager,2026-04-09
REQ-108,Logistics & Fulfillment,Shipping,Delivery Slot Selection - Phase 2,"Allow customers to select preferred delivery time slots (extended requirement, cycle 2)",Medium,Medium,5,Integration Developer,GraphQL,9,Done,REQ-106,Feature works as specified with no critical defects in UAT,Low,v2.0,Business Analyst,2026-04-09
REQ-109,Logistics & Fulfillment,Shipping,Proof of Delivery Capture,Capture digital signature or photo as proof of delivery,High,Low,5,Data Engineer,React,10,In Progress,REQ-105,End-to-end scenario completes successfully across environments,High,v2.0,Product Owner,2026-04-10
REQ-110,Logistics & Fulfillment,Shipping,Delivery Slot Selection Enhancement,"Allow customers to select preferred delivery time slots (extended requirement, cycle 3)",Critical,Medium,5,Senior Consultant,PostgreSQL,10,In Progress,None,Feature is accessible and passes WCAG 2.1 AA checks,Low,v2.0,Project Manager,2026-04-10
REQ-111,Logistics & Fulfillment,Shipping,Shipping Carrier Integration,Integrate with third-party carrier APIs for label generation,Medium,High,21,QA Engineer,OAuth2/SAML,10,In Progress,REQ-106,No P1/P2 defects open at the time of release,Medium,v2.0,Delivery Manager,2026-04-10
REQ-112,Logistics & Fulfillment,Shipping,Freight Cost Calculation,"Calculate shipping cost based on weight, dimensions, and destination",Low,Medium,5,QA Engineer,React,10,In Progress,None,No P1/P2 defects open at the time of release,Low,v2.0,Solution Architect,2026-04-11
REQ-113,Logistics & Fulfillment,Shipping,Proof of Delivery Capture - Phase 2,"Capture digital signature or photo as proof of delivery (extended requirement, cycle 2)",High,Low,2,BI Developer,Tableau,10,To Do,REQ-111,End-to-end scenario completes successfully across environments,High,v2.0,Client Stakeholder,2026-04-11
REQ-114,Logistics & Fulfillment,Shipping,Shipment Tracking Sync - Phase 2,"Sync shipment tracking status updates back to order records (extended requirement, cycle 2)",Medium,Low,5,Project Manager,MySQL,10,Done,None,Audit log captures all required fields correctly,Medium,v2.0,Project Manager,2026-04-13
REQ-115,Logistics & Fulfillment,Shipping,Returns Pickup Scheduling - Phase 2,"Schedule reverse pickups for product returns (extended requirement, cycle 2)",Critical,High,21,Data Engineer,Jenkins,10,Done,REQ-114,Response time remains under 2 seconds under expected load,Medium,v2.0,Solution Architect,2026-04-13
REQ-116,Logistics & Fulfillment,Shipping,Delivery Exception Handling Enhancement,"Handle and notify customers of delivery exceptions/delays (extended requirement, cycle 3)",Critical,Low,3,Integration Developer,Twilio API,10,To Do,REQ-115,Feature is accessible and passes WCAG 2.1 AA checks,Medium,v2.0,Product Owner,2026-04-14
REQ-117,Logistics & Fulfillment,Shipping,Returns Pickup Scheduling,Schedule reverse pickups for product returns,Critical,High,21,DevOps Engineer,Jenkins,10,In Progress,None,Audit log captures all required fields correctly,Medium,v2.0,Delivery Manager,2026-04-15
REQ-118,Logistics & Fulfillment,Shipping,Delivery Exception Handling,Handle and notify customers of delivery exceptions/delays,Medium,Medium,13,Senior Consultant,Redis,10,In Progress,REQ-117,Feature works as specified with no critical defects in UAT,Medium,v2.0,Client Stakeholder,2026-04-17
REQ-119,Logistics & Fulfillment,Shipping,Returns Pickup Scheduling Enhancement,"Schedule reverse pickups for product returns (extended requirement, cycle 3)",High,Low,3,Business Analyst,REST API,10,Done,None,Data accuracy validated at 100% against source system,Low,v2.0,Client Stakeholder,2026-04-17
REQ-120,Logistics & Fulfillment,Shipping,Freight Cost Calculation - Phase 2,"Calculate shipping cost based on weight, dimensions, and destination (extended requirement, cycle 2)",Critical,Medium,8,Business Analyst,Redis,10,To Do,None,Audit log captures all required fields correctly,Medium,v2.0,Project Manager,2026-04-17
REQ-121,Logistics & Fulfillment,Shipping,Shipping Carrier Integration - Extended Scope,"Integrate with third-party carrier APIs for label generation (extended requirement, cycle 4)",Medium,Medium,13,Data Engineer,Twilio API,11,In Progress,REQ-120,Response time remains under 2 seconds under expected load,Medium,v2.0,Solution Architect,2026-04-18
REQ-122,Logistics & Fulfillment,Shipping,Shipping Carrier Integration - Phase 2,"Integrate with third-party carrier APIs for label generation (extended requirement, cycle 2)",Medium,High,21,DevOps Engineer,Twilio API,11,In Progress,REQ-119,Feature passes security and access-control review,Low,v2.0,Product Owner,2026-04-19
REQ-123,Logistics & Fulfillment,Shipping,Freight Cost Calculation Enhancement,"Calculate shipping cost based on weight, dimensions, and destination (extended requirement, cycle 3)",Medium,Medium,8,Data Engineer,Twilio API,11,Done,None,Feature passes security and access-control review,Low,v2.0,Client Stakeholder,2026-04-21
REQ-124,Logistics & Fulfillment,Shipping,Shipping Carrier Integration Enhancement,"Integrate with third-party carrier APIs for label generation (extended requirement, cycle 3)",High,High,21,Integration Developer,FastAPI Security,11,In Progress,REQ-121,All acceptance test scenarios pass with 100% success rate,Low,v2.0,Solution Architect,2026-04-22
REQ-125,Logistics & Fulfillment,Shipping,Delivery Slot Selection,Allow customers to select preferred delivery time slots,High,High,21,Solution Architect,Kafka,11,Done,REQ-124,Feature is accessible and passes WCAG 2.1 AA checks,Low,v2.0,Delivery Manager,2026-04-22
REQ-126,Customer Communication Hub,Notifications,SMS Gateway Integration,Integrate SMS gateway for OTP and transactional alerts,Medium,Low,3,Data Engineer,Twilio API,11,Blocked,None,Feature works as specified with no critical defects in UAT,Low,v2.0,Product Owner,2026-04-22
REQ-127,Customer Communication Hub,Notifications,SMS Gateway Integration Enhancement,"Integrate SMS gateway for OTP and transactional alerts (extended requirement, cycle 3)",High,High,21,Security Analyst,PyTest,11,Done,REQ-126,End-to-end scenario completes successfully across environments,High,v2.0,Solution Architect,2026-04-24
REQ-128,Customer Communication Hub,Notifications,Shipment Update Notification Enhancement,"Notify customers of shipment status changes (extended requirement, cycle 3)",High,High,13,Business Analyst,Redis,11,Blocked,REQ-127,Feature works as specified with no critical defects in UAT,High,v2.0,Product Owner,2026-04-24
REQ-129,Customer Communication Hub,Notifications,Transactional Email Templates,Design and implement reusable transactional email templates,Low,High,21,Python Developer,FastAPI,11,Blocked,REQ-127,All acceptance test scenarios pass with 100% success rate,Low,v2.0,Delivery Manager,2026-04-26
REQ-130,Customer Communication Hub,Notifications,Promotional Push Notifications Enhancement,"Send targeted promotional push notifications to mobile app users (extended requirement, cycle 3)",High,High,13,Product Owner,Salesforce API,11,Done,REQ-128,End-to-end scenario completes successfully across environments,Low,v2.0,Business Analyst,2026-04-26
REQ-131,Customer Communication Hub,Notifications,Notification Preference Center - Extended Scope,"Centralize notification channel preferences per customer (extended requirement, cycle 4)",Critical,Medium,8,DevOps Engineer,PyTest,11,To Do,REQ-126,Business sign-off obtained after UAT walkthrough,Low,v2.0,Client Stakeholder,2026-04-27
REQ-132,Customer Communication Hub,Notifications,Notification Preference Center,Centralize notification channel preferences per customer,Medium,Low,2,Security Analyst,Azure DevOps,11,In Progress,REQ-129,Feature passes security and access-control review,High,v2.0,Business Analyst,2026-04-28
REQ-133,Customer Communication Hub,Notifications,Notification Preference Center - Phase 2,"Centralize notification channel preferences per customer (extended requirement, cycle 2)",High,High,13,Project Manager,Node.js,12,In Progress,REQ-132,All acceptance test scenarios pass with 100% success rate,Medium,v2.0,Business Analyst,2026-04-29
REQ-134,Customer Communication Hub,Notifications,Transactional Email Templates Enhancement,"Design and implement reusable transactional email templates (extended requirement, cycle 3)",Medium,Medium,8,Data Engineer,Kubernetes,12,Done,None,No P1/P2 defects open at the time of release,Low,v2.0,Product Owner,2026-05-01
REQ-135,Customer Communication Hub,Notifications,In-App Notification Center,Build in-app notification inbox with read/unread state,High,High,21,Integration Developer,Selenium,12,To Do,REQ-133,Feature is accessible and passes WCAG 2.1 AA checks,High,v2.0,Client Stakeholder,2026-05-03
REQ-136,Customer Communication Hub,Notifications,Promotional Push Notifications - Extended Scope,"Send targeted promotional push notifications to mobile app users (extended requirement, cycle 4)",Medium,Low,5,Senior Consultant,PostgreSQL,12,In Progress,REQ-133,Data accuracy validated at 100% against source system,High,v2.0,Delivery Manager,2026-05-05
REQ-137,Customer Communication Hub,Notifications,Transactional Email Templates - Phase 2,"Design and implement reusable transactional email templates (extended requirement, cycle 2)",High,Medium,13,DevOps Engineer,SendGrid API,12,To Do,REQ-136,No P1/P2 defects open at the time of release,Low,v2.0,Delivery Manager,2026-05-06
REQ-138,Customer Communication Hub,Notifications,Promotional Push Notifications,Send targeted promotional push notifications to mobile app users,High,Low,3,Database Admin,AWS Lambda,12,To Do,None,Feature passes security and access-control review,Medium,v2.0,Project Manager,2026-05-08
REQ-139,Customer Communication Hub,Notifications,In-App Notification Center - Phase 2,"Build in-app notification inbox with read/unread state (extended requirement, cycle 2)",Critical,Medium,13,Senior Consultant,PostgreSQL,12,Done,REQ-135,No P1/P2 defects open at the time of release,High,v2.0,Business Analyst,2026-05-09
REQ-140,Customer Communication Hub,Notifications,Order Confirmation Notification Enhancement,"Send order confirmation via email and SMS (extended requirement, cycle 3)",High,High,21,Product Owner,REST API,12,Done,None,Audit log captures all required fields correctly,Medium,v2.0,Client Stakeholder,2026-05-09
REQ-141,Customer Communication Hub,Notifications,In-App Notification Center Enhancement,"Build in-app notification inbox with read/unread state (extended requirement, cycle 3)",Critical,Medium,13,Business Analyst,Kubernetes,12,In Progress,None,Feature passes security and access-control review,High,v2.0,Business Analyst,2026-05-10
REQ-142,Customer Communication Hub,Notifications,Order Confirmation Notification,Send order confirmation via email and SMS,High,High,13,Security Analyst,React,12,Done,None,All acceptance test scenarios pass with 100% success rate,Low,v2.0,Product Owner,2026-05-12
REQ-143,Customer Communication Hub,Notifications,Shipment Update Notification,Notify customers of shipment status changes,Medium,High,13,QA Engineer,Selenium,12,In Progress,None,Feature works as specified with no critical defects in UAT,Low,v2.0,Delivery Manager,2026-05-12
REQ-144,Customer Communication Hub,Notifications,Order Confirmation Notification - Extended Scope,"Send order confirmation via email and SMS (extended requirement, cycle 4)",High,Low,3,QA Engineer,Selenium,12,In Progress,REQ-143,Response time remains under 2 seconds under expected load,High,v2.0,Business Analyst,2026-05-13
REQ-145,Customer Communication Hub,Notifications,SMS Gateway Integration - Phase 2,"Integrate SMS gateway for OTP and transactional alerts (extended requirement, cycle 2)",Medium,High,21,QA Engineer,AWS Lambda,13,Done,REQ-140,Audit log captures all required fields correctly,High,v2.0,Client Stakeholder,2026-05-15
REQ-146,Customer Communication Hub,Notifications,Promotional Push Notifications - Phase 2,"Send targeted promotional push notifications to mobile app users (extended requirement, cycle 2)",Low,High,13,Database Admin,Elasticsearch,13,Blocked,None,End-to-end scenario completes successfully across environments,Medium,v2.0,Business Analyst,2026-05-17
REQ-147,Customer Communication Hub,Notifications,Shipment Update Notification - Extended Scope,"Notify customers of shipment status changes (extended requirement, cycle 4)",High,Medium,5,Project Manager,REST API,13,Done,REQ-143,No P1/P2 defects open at the time of release,Low,v2.0,Delivery Manager,2026-05-18
REQ-148,Customer Communication Hub,Notifications,Shipment Update Notification - Phase 2,"Notify customers of shipment status changes (extended requirement, cycle 2)",Low,Medium,8,Solution Architect,Tableau,13,In Progress,REQ-146,Data accuracy validated at 100% against source system,Medium,v2.0,Solution Architect,2026-05-19
REQ-149,Customer Communication Hub,Notifications,Notification Preference Center Enhancement,"Centralize notification channel preferences per customer (extended requirement, cycle 3)",Critical,High,13,Python Developer,Kafka,13,Done,REQ-148,Feature is accessible and passes WCAG 2.1 AA checks,Medium,v2.0,Delivery Manager,2026-05-21
REQ-150,Customer Communication Hub,Notifications,Order Confirmation Notification - Phase 2,"Send order confirmation via email and SMS (extended requirement, cycle 2)",High,Low,3,Project Manager,FastAPI,13,To Do,None,All acceptance test scenarios pass with 100% success rate,Low,v2.0,Product Owner,2026-05-21
REQ-151,Enterprise Analytics & Reporting,Reporting,Inventory Turnover Report Enhancement,"Report on inventory turnover ratio by category (extended requirement, cycle 3)",Medium,High,21,QA Engineer,Azure DevOps,13,In Progress,None,No P1/P2 defects open at the time of release,High,v2.0,Project Manager,2026-05-22
REQ-152,Enterprise Analytics & Reporting,Reporting,Operational KPI Dashboard - Phase 2,"Build dashboard tracking order fulfillment and SLA KPIs (extended requirement, cycle 2)",High,Medium,8,Security Analyst,Stripe API,13,To Do,REQ-151,No P1/P2 defects open at the time of release,High,v2.0,Client Stakeholder,2026-05-23
REQ-153,Enterprise Analytics & Reporting,Reporting,Automated Report Scheduling - Phase 2,"Schedule and email recurring reports to stakeholders (extended requirement, cycle 2)",High,Low,2,UX Designer,FastAPI Security,13,In Progress,REQ-151,Feature is accessible and passes WCAG 2.1 AA checks,Low,v2.0,Delivery Manager,2026-05-23
REQ-154,Enterprise Analytics & Reporting,Reporting,Finance Reconciliation Report,Generate daily finance reconciliation report across modules,High,Medium,5,Security Analyst,Jenkins,13,In Progress,None,No P1/P2 defects open at the time of release,Low,v2.0,Project Manager,2026-05-24
REQ-155,Enterprise Analytics & Reporting,Reporting,Inventory Turnover Report,Report on inventory turnover ratio by category,Critical,High,21,Business Analyst,PostgreSQL,13,To Do,REQ-152,Feature works as specified with no critical defects in UAT,Medium,v2.0,Business Analyst,2026-05-24
REQ-156,Enterprise Analytics & Reporting,Reporting,Sales Dashboard,Develop executive sales performance dashboard,Medium,Low,5,Security Analyst,Node.js,13,Blocked,None,Feature is accessible and passes WCAG 2.1 AA checks,Low,v2.0,Client Stakeholder,2026-05-24
REQ-157,Enterprise Analytics & Reporting,Reporting,Finance Reconciliation Report Enhancement,"Generate daily finance reconciliation report across modules (extended requirement, cycle 3)",Critical,Medium,5,Python Developer,Kafka,14,In Progress,None,Feature works as specified with no critical defects in UAT,Medium,v2.0,Solution Architect,2026-05-25
REQ-158,Enterprise Analytics & Reporting,Reporting,Regional Sales Heatmap,Visualize regional sales performance on a geographic heatmap,Medium,High,13,Senior Consultant,FastAPI Security,14,Done,REQ-156,Audit log captures all required fields correctly,Low,v2.0,Delivery Manager,2026-05-25
REQ-159,Enterprise Analytics & Reporting,Reporting,Regional Sales Heatmap - Phase 2,"Visualize regional sales performance on a geographic heatmap (extended requirement, cycle 2)",High,Medium,13,QA Engineer,Kubernetes,14,Done,REQ-158,Feature works as specified with no critical defects in UAT,Low,v2.0,Business Analyst,2026-05-26
REQ-160,Enterprise Analytics & Reporting,Reporting,Ad-hoc Query Builder,Provide business users a self-service ad-hoc reporting tool,Critical,Low,2,Senior Consultant,SendGrid API,14,In Progress,None,End-to-end scenario completes successfully across environments,High,v2.0,Client Stakeholder,2026-05-26
REQ-161,Enterprise Analytics & Reporting,Reporting,Customer Lifetime Value Report Enhancement,"Calculate and visualize customer lifetime value trends (extended requirement, cycle 3)",Low,High,13,QA Engineer,Twilio API,14,To Do,None,Feature passes security and access-control review,Low,v2.0,Business Analyst,2026-05-26
REQ-162,Enterprise Analytics & Reporting,Reporting,Data Warehouse ETL Pipeline,Build ETL pipeline feeding the enterprise data warehouse,Critical,High,13,QA Engineer,FastAPI Security,14,Blocked,REQ-161,Business sign-off obtained after UAT walkthrough,High,v2.0,Client Stakeholder,2026-05-26
REQ-163,Enterprise Analytics & Reporting,Reporting,Ad-hoc Query Builder Enhancement,"Provide business users a self-service ad-hoc reporting tool (extended requirement, cycle 3)",Medium,High,21,BI Developer,Tableau,14,In Progress,None,All acceptance test scenarios pass with 100% success rate,High,v2.0,Client Stakeholder,2026-05-26
REQ-164,Enterprise Analytics & Reporting,Reporting,Automated Report Scheduling Enhancement,"Schedule and email recurring reports to stakeholders (extended requirement, cycle 3)",Critical,Low,2,Data Engineer,GraphQL,14,In Progress,None,Feature works as specified with no critical defects in UAT,High,v2.0,Solution Architect,2026-05-27
REQ-165,Enterprise Analytics & Reporting,Reporting,Customer Lifetime Value Report - Phase 2,"Calculate and visualize customer lifetime value trends (extended requirement, cycle 2)",High,Medium,8,BI Developer,Python ETL,14,Done,None,Business sign-off obtained after UAT walkthrough,Medium,v2.0,Client Stakeholder,2026-05-27
REQ-166,Enterprise Analytics & Reporting,Reporting,Inventory Turnover Report - Phase 2,"Report on inventory turnover ratio by category (extended requirement, cycle 2)",Medium,Low,2,BI Developer,FastAPI Security,14,Done,REQ-163,End-to-end scenario completes successfully across environments,Medium,v2.0,Solution Architect,2026-05-28
REQ-167,Enterprise Analytics & Reporting,Reporting,Operational KPI Dashboard,Build dashboard tracking order fulfillment and SLA KPIs,High,Medium,5,Senior Consultant,Python ETL,14,In Progress,REQ-162,Audit log captures all required fields correctly,Medium,v2.0,Delivery Manager,2026-05-29
REQ-168,Enterprise Analytics & Reporting,Reporting,Data Warehouse ETL Pipeline - Phase 2,"Build ETL pipeline feeding the enterprise data warehouse (extended requirement, cycle 2)",Medium,Medium,8,Product Owner,REST API,14,To Do,None,Business sign-off obtained after UAT walkthrough,Low,v2.0,Project Manager,2026-05-31
REQ-169,Enterprise Analytics & Reporting,Reporting,Operational KPI Dashboard Enhancement,"Build dashboard tracking order fulfillment and SLA KPIs (extended requirement, cycle 3)",Low,High,13,Database Admin,REST API,15,Done,REQ-165,Feature passes security and access-control review,Low,v2.0,Solution Architect,2026-06-01
REQ-170,Enterprise Analytics & Reporting,Reporting,Finance Reconciliation Report - Phase 2,"Generate daily finance reconciliation report across modules (extended requirement, cycle 2)",High,Medium,5,Data Engineer,Docker,15,In Progress,REQ-165,No P1/P2 defects open at the time of release,High,v2.0,Client Stakeholder,2026-06-01
REQ-171,Enterprise Analytics & Reporting,Reporting,Customer Lifetime Value Report,Calculate and visualize customer lifetime value trends,High,High,21,Product Owner,REST API,15,In Progress,None,No P1/P2 defects open at the time of release,High,v2.0,Solution Architect,2026-06-03
REQ-172,Enterprise Analytics & Reporting,Reporting,Sales Dashboard - Phase 2,"Develop executive sales performance dashboard (extended requirement, cycle 2)",Critical,Medium,13,QA Engineer,Twilio API,15,Done,None,End-to-end scenario completes successfully across environments,Low,v2.0,Project Manager,2026-06-04
REQ-173,Enterprise Analytics & Reporting,Reporting,Sales Dashboard Enhancement,"Develop executive sales performance dashboard (extended requirement, cycle 3)",Low,High,21,BI Developer,Kafka,15,Done,None,End-to-end scenario completes successfully across environments,High,v2.0,Project Manager,2026-06-06
REQ-174,Enterprise Analytics & Reporting,Reporting,Ad-hoc Query Builder - Phase 2,"Provide business users a self-service ad-hoc reporting tool (extended requirement, cycle 2)",Low,Low,5,Python Developer,Salesforce API,15,To Do,None,No P1/P2 defects open at the time of release,High,v2.0,Product Owner,2026-06-06
REQ-175,Enterprise Analytics & Reporting,Reporting,Automated Report Scheduling,Schedule and email recurring reports to stakeholders,Medium,High,21,Database Admin,SendGrid API,15,Done,REQ-173,Data accuracy validated at 100% against source system,Low,v2.0,Solution Architect,2026-06-07
REQ-176,Enterprise Security & Compliance,Security,Data Encryption at Rest Enhancement,"Encrypt sensitive customer and payment data at rest (extended requirement, cycle 3)",Critical,High,21,DevOps Engineer,GraphQL,15,In Progress,None,Business sign-off obtained after UAT walkthrough,Medium,v2.0,Client Stakeholder,2026-06-08
REQ-177,Enterprise Security & Compliance,Security,Multi-Factor Authentication,Enable MFA for internal admin and back-office users,Medium,High,13,Senior Consultant,Terraform,15,In Progress,REQ-176,Response time remains under 2 seconds under expected load,Medium,v2.0,Solution Architect,2026-06-09
REQ-178,Enterprise Security & Compliance,Security,Vulnerability Scanning Pipeline - Phase 2,"Integrate automated vulnerability scanning into CI/CD pipeline (extended requirement, cycle 2)",Low,Medium,5,Senior Consultant,Docker,15,In Progress,None,Audit log captures all required fields correctly,Low,v2.0,Client Stakeholder,2026-06-09
REQ-179,Enterprise Security & Compliance,Security,Data Encryption at Rest,Encrypt sensitive customer and payment data at rest,High,Medium,13,DevOps Engineer,FastAPI Security,15,Done,REQ-176,No P1/P2 defects open at the time of release,Low,v2.0,Business Analyst,2026-06-09
REQ-180,Enterprise Security & Compliance,Security,Single Sign-On Integration - Phase 2,"Integrate SSO via SAML/OAuth2 with corporate identity provider (extended requirement, cycle 2)",Medium,High,21,Project Manager,Jenkins,15,In Progress,REQ-179,Audit log captures all required fields correctly,Medium,v2.0,Product Owner,2026-06-10
REQ-181,Enterprise Security & Compliance,Security,Multi-Factor Authentication - Phase 2,"Enable MFA for internal admin and back-office users (extended requirement, cycle 2)",High,Medium,13,Senior Consultant,Django REST,16,To Do,REQ-177,All acceptance test scenarios pass with 100% success rate,High,v2.0,Client Stakeholder,2026-06-12
REQ-182,Enterprise Security & Compliance,Security,JWT Authentication Enhancement,"Implement JWT-based authentication for all internal APIs (extended requirement, cycle 3)",Critical,Low,5,BI Developer,Salesforce API,16,Done,None,Response time remains under 2 seconds under expected load,Low,v2.0,Project Manager,2026-06-13
REQ-183,Enterprise Security & Compliance,Security,API Rate Limiting,Implement rate limiting and throttling on public-facing APIs,Critical,Medium,5,Security Analyst,Elasticsearch,16,Done,None,Data accuracy validated at 100% against source system,Medium,v2.0,Client Stakeholder,2026-06-13
REQ-184,Enterprise Security & Compliance,Security,Data Encryption at Rest - Phase 2,"Encrypt sensitive customer and payment data at rest (extended requirement, cycle 2)",Medium,High,13,Data Engineer,Azure DevOps,16,To Do,REQ-181,Feature passes security and access-control review,Low,v2.0,Business Analyst,2026-06-15
REQ-185,Enterprise Security & Compliance,Security,Single Sign-On Integration Enhancement,"Integrate SSO via SAML/OAuth2 with corporate identity provider (extended requirement, cycle 3)",High,Medium,5,Data Engineer,React,16,To Do,None,Response time remains under 2 seconds under expected load,High,v2.0,Delivery Manager,2026-06-16
REQ-186,Enterprise Security & Compliance,Security,API Rate Limiting - Phase 2,"Implement rate limiting and throttling on public-facing APIs (extended requirement, cycle 2)",Low,Medium,13,Business Analyst,Azure DevOps,16,Done,None,All acceptance test scenarios pass with 100% success rate,Low,v2.0,Solution Architect,2026-06-18
REQ-187,Enterprise Security & Compliance,Security,Session Management & Timeout - Phase 2,"Enforce session expiry and concurrent session limits (extended requirement, cycle 2)",High,Medium,13,BI Developer,Elasticsearch,16,To Do,None,Audit log captures all required fields correctly,Low,v2.0,Client Stakeholder,2026-06-18
REQ-188,Enterprise Security & Compliance,Security,Single Sign-On Integration,Integrate SSO via SAML/OAuth2 with corporate identity provider,Medium,Medium,5,Business Analyst,Azure DevOps,16,To Do,None,Feature works as specified with no critical defects in UAT,High,v2.0,Delivery Manager,2026-06-19
REQ-189,Enterprise Security & Compliance,Security,Role-Based Access Control Enhancement,"Implement RBAC for module-level and field-level access (extended requirement, cycle 3)",Critical,High,21,BI Developer,SendGrid API,16,Done,None,No P1/P2 defects open at the time of release,Medium,v2.0,Project Manager,2026-06-19
REQ-190,Enterprise Security & Compliance,Security,Role-Based Access Control,Implement RBAC for module-level and field-level access,High,Medium,13,Project Manager,OAuth2/SAML,16,In Progress,REQ-185,No P1/P2 defects open at the time of release,High,v2.0,Delivery Manager,2026-06-20
REQ-191,Enterprise Security & Compliance,Security,Session Management & Timeout,Enforce session expiry and concurrent session limits,Medium,High,21,Solution Architect,Python,16,Done,REQ-187,Audit log captures all required fields correctly,High,v2.0,Project Manager,2026-06-21
REQ-192,Enterprise Security & Compliance,Security,API Rate Limiting Enhancement,"Implement rate limiting and throttling on public-facing APIs (extended requirement, cycle 3)",Low,Low,3,Data Engineer,Apache Airflow,16,Done,None,Data accuracy validated at 100% against source system,Medium,v2.0,Business Analyst,2026-06-22
REQ-193,Enterprise Security & Compliance,Security,Audit Trail Logging - Phase 2,"Log all create/update/delete actions with user and timestamp (extended requirement, cycle 2)",Low,Medium,8,Business Analyst,Tableau,17,In Progress,REQ-192,Feature works as specified with no critical defects in UAT,High,v2.0,Product Owner,2026-06-24
REQ-194,Enterprise Security & Compliance,Security,Role-Based Access Control - Phase 2,"Implement RBAC for module-level and field-level access (extended requirement, cycle 2)",Critical,High,21,Project Manager,Kafka,17,Done,None,All acceptance test scenarios pass with 100% success rate,High,v2.0,Delivery Manager,2026-06-25
REQ-195,Enterprise Security & Compliance,Security,JWT Authentication,Implement JWT-based authentication for all internal APIs,Low,High,13,UX Designer,Tableau,17,To Do,None,End-to-end scenario completes successfully across environments,Low,v2.0,Client Stakeholder,2026-06-26
REQ-196,Enterprise Security & Compliance,Security,Audit Trail Logging Enhancement,"Log all create/update/delete actions with user and timestamp (extended requirement, cycle 3)",High,Medium,8,Database Admin,Redis,17,In Progress,None,All acceptance test scenarios pass with 100% success rate,Medium,v2.0,Business Analyst,2026-06-27
REQ-197,Enterprise Security & Compliance,Security,Audit Trail Logging,Log all create/update/delete actions with user and timestamp,High,Medium,13,Python Developer,Apache Airflow,17,To Do,None,End-to-end scenario completes successfully across environments,Medium,v2.0,Project Manager,2026-06-28
REQ-198,Enterprise Security & Compliance,Security,JWT Authentication - Phase 2,"Implement JWT-based authentication for all internal APIs (extended requirement, cycle 2)",High,Medium,5,Security Analyst,Kafka,17,In Progress,REQ-196,End-to-end scenario completes successfully across environments,Low,v2.0,Solution Architect,2026-06-29
REQ-199,Enterprise Security & Compliance,Security,Vulnerability Scanning Pipeline,Integrate automated vulnerability scanning into CI/CD pipeline,Low,High,13,Senior Consultant,Salesforce API,17,In Progress,None,No P1/P2 defects open at the time of release,Low,v2.0,Product Owner,2026-06-30
REQ-200,Enterprise Security & Compliance,Security,Vulnerability Scanning Pipeline Enhancement,"Integrate automated vulnerability scanning into CI/CD pipeline (extended requirement, cycle 3)",High,Medium,5,Database Admin,AWS Lambda,17,To Do,REQ-197,All acceptance test scenarios pass with 100% success rate,Low,v2.0,Solution Architect,2026-06-30
REQ-201,Master Data Governance,Master Data,Product Master Data Model - Extended Scope,"Design canonical product master data model across systems (extended requirement, cycle 4)",Critical,Medium,13,UX Designer,Kubernetes,17,Done,None,All acceptance test scenarios pass with 100% success rate,Medium,v2.0,Business Analyst,2026-07-01
REQ-202,Master Data Governance,Master Data,Tax Master Data Configuration - Phase 2,"Configure region-wise tax master data and rules (extended requirement, cycle 2)",Critical,Medium,13,Database Admin,SAP ERP Connector,17,To Do,None,End-to-end scenario completes successfully across environments,Low,v2.0,Client Stakeholder,2026-07-02
REQ-203,Master Data Governance,Master Data,Unit of Measure Standardization Enhancement,"Standardize unit of measure across legacy and new systems (extended requirement, cycle 3)",Medium,Medium,5,BI Developer,Apache Airflow,17,In Progress,None,All acceptance test scenarios pass with 100% success rate,Medium,v2.0,Business Analyst,2026-07-02
REQ-204,Master Data Governance,Master Data,Tax Master Data Configuration,Configure region-wise tax master data and rules,High,High,13,Database Admin,FastAPI Security,17,In Progress,REQ-202,Feature works as specified with no critical defects in UAT,Low,v2.0,Delivery Manager,2026-07-02
